"","ticker","tradeDate","clsPx","hiPx","loPx","open","stockVolume","unadjClsPx","unadjHiPx","unadjLoPx","unadjOpen","unadjStockVolume","updatedAt"
"4092","SPX",2022-04-05,4525.12,4593.45,4514.17,4572.45,0,4525.12,4593.45,4514.17,4572.45,0,"2022-04-05T23:24:27Z"
"4093","SPX",2022-04-06,4481.15,4503.94,4450.04,4494.17,0,4481.15,4503.94,4450.04,4494.17,0,"2022-04-06T23:26:56Z"
"4094","SPX",2022-04-07,4500.21,4521.16,4450.3,4474.65,0,4500.21,4521.16,4450.3,4474.65,0,"2022-04-07T23:27:42Z"
"4095","SPX",2022-04-08,4488.28,4520.41,4474.76,4494.15,0,4488.28,4520.41,4474.76,4494.15,0,"2022-04-08T23:27:00Z"
"4096","SPX",2022-04-11,4412.53,4463.15,4408.38,4462.64,0,4412.53,4463.15,4408.38,4462.64,0,"2022-04-11T23:26:43Z"
"4097","SPX",2022-04-12,4397.45,4471,4381.34,4437.59,0,4397.45,4471,4381.34,4437.59,0,"2022-04-12T23:25:34Z"
"4098","SPX",2022-04-13,4446.59,4453.92,4392.7,4394.3,0,4446.59,4453.92,4392.7,4394.3,0,"2022-04-13T23:26:24Z"
"4099","SPX",2022-04-14,4392.59,4460.46,4390.89,4449.12,0,4392.59,4460.46,4390.89,4449.12,0,"2022-04-14T23:27:48Z"
"4100","SPX",2022-04-18,4391.69,4410.31,4370.3,4385.63,0,4391.69,4410.31,4370.3,4385.63,0,"2022-04-18T23:31:05Z"
"4101","SPX",2022-04-19,4462.21,4471.03,4390.63,4390.63,0,4462.21,4471.03,4390.63,4390.63,0,"2022-04-19T23:28:34Z"
"4102","SPX",2022-04-20,4459.45,4488.29,4448.76,4472.26,0,4459.45,4488.29,4448.76,4472.26,0,"2022-04-20T23:26:52Z"
"4103","SPX",2022-04-21,4393.66,4512.94,4384.47,4489.17,0,4393.66,4512.94,4384.47,4489.17,0,"2022-04-21T23:28:44Z"
"4104","SPX",2022-04-22,4271.78,4385.83,4267.62,4385.83,0,4271.78,4385.83,4267.62,4385.83,0,"2022-04-22T23:26:32Z"
